Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lp=0.1/50/sfrp,0.9994046586664542,0.9722870429999375,1.026522274332971,3.16602271693851e-2,2.6353728083260308e-2,3.590676279685808e-2
lp=0.1/50/cfsf,0.6914476762081753,0.6826532743750704,0.7012568792497405,1.122560251078568e-2,4.877253867204165e-3,1.543254719561511e-2
lp=0.1/50/preIO,0.6720390835209097,0.6605521958124427,0.6938203820836103,2.1219621409182512e-2,8.7735749052208e-4,2.558955592221066e-2
lp=0.1/50/sf,0.8752265966457836,0.864339041874814,0.8864941436251002,1.404247129740942e-2,6.321985083483639e-3,1.8721285546936403e-2
lp=0.1/100/sfrp,1.9203101402082439,1.8783464500002083,1.9459587901665145,3.525858530190953e-2,1.6818582833366236e-2,4.874621612178947e-2
lp=0.1/100/cfsf,1.281785716729189,1.265616889437581,1.2929319877500802,1.6201351829574124e-2,7.218107399083823e-3,2.0860648308875955e-2
lp=0.1/100/preIO,1.2394697329581845,1.2343841317497777,1.2423836647915323,5.03384091455893e-3,2.1839997326412865e-3,6.729437313534197e-3
lp=0.1/100/sf,1.503794393979111,1.4023883241872568,1.5552678876250638,9.787366088165854e-2,1.0841690575559407e-2,0.1261560356922302
lp=0.1/150/sfrp,2.525994458625197,2.49592706275007,2.5456083958754903,2.905746507574696e-2,1.1882017500283837e-2,3.786140060864907e-2
lp=0.1/150/cfsf,1.4420110685208556,1.4242411128750518,1.461294317562647,2.3167903562025915e-2,9.693519374877724e-3,2.9844842661409004e-2
lp=0.1/150/preIO,1.4779039698749254,1.4511688627501371,1.5046390769997138,3.4319406726393185e-2,1.4524236749897113e-2,4.497094118658605e-2
lp=0.1/150/sf,2.0943713530834316,2.001920760000303,2.1436422913333217,8.77945592888426e-2,2.1333189666620456e-2,0.11378635784719802
lp=0.1/200/sfrp,4.77195729095835,4.7371211882500575,4.796869667249894,3.7466040517826586e-2,1.6477505250122704e-2,5.233659530678918e-2
lp=0.1/200/cfsf,3.7034353925625774,3.679591823500232,3.7389458996875455,3.35411875529512e-2,1.7684169997664867e-3,4.2024997726175684e-2
lp=0.1/200/preIO,3.441755573770896,3.424039950458299,3.4508173113959706,1.6796679684172408e-2,9.418937037419008e-4,2.0927186628650746e-2
lp=0.1/200/sf,3.7268367734167973,3.5647356256253033,3.836512913125034,0.1607129591122094,8.720766360124073e-2,0.20827803371778716
lp=0.1/250/sfrp,6.633244856458513,6.57627820191677,6.681070324083673,6.879420196875437e-2,4.429795587205518e-2,8.249370623306033e-2
lp=0.1/250/cfsf,4.565869260624936,4.473297021999997,4.624788240249927,9.667484641662416e-2,5.053144125008657e-2,0.13606755498746687
lp=0.1/250/preIO,3.97038861702066,3.9159493377706553,4.0487815688748015,8.103761841179179e-2,1.8881887359858504e-2,0.10684024275805942
lp=0.1/250/sf,4.463067310541571,4.296562755499735,4.554989579499988,0.16644493039148822,0.10863421884202389,0.19893706186982163
lp=0.1/300/sfrp,6.729623001354071,6.604032384874813,6.799866408166622,0.12112907147535065,4.0089465541777225e-2,0.16222019932809145
lp=0.1/300/cfsf,5.30421664058332,5.27302812208336,5.325863462458301,3.1214598704813502e-2,1.4503022583198799e-2,4.067266398426331e-2
lp=0.1/300/preIO,4.527393253562441,4.47725698374946,4.567660869625229,5.014863399079615e-2,2.827515381556948e-2,6.471892207832947e-2
lp=0.1/300/sf,4.825880353791642,4.570420737125005,5.080199379333257,0.3044139035405024,0.20561821157220006,0.35166621518161684
lp=0.25/50/sfrp,1.0431490811040856,1.0254512281874213,1.0531881029166168,1.713799702678336e-2,4.7603814167965774e-3,2.318412778346176e-2
lp=0.25/50/cfsf,0.5808505838959755,0.5704260461251351,0.5935832768125806,1.4465630655529737e-2,7.793444880837795e-4,1.8086225990805106e-2
lp=0.25/50/preIO,0.59019563087503,0.5686410750000164,0.611069054249981,2.7328581064351445e-2,1.1695120572678228e-2,3.7788163438365406e-2
