Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
noloop/50/allIO,0.1632276924326125,0.16013025989510163,0.16654609374289583,4.532986403038752e-3,2.9329447124694682e-3,6.529647642430709e-3
noloop/50/preIO,0.1665400711669212,0.16413011968547186,0.16889533447482896,3.536628086219838e-3,2.2326160001795202e-3,4.888182797768049e-3
noloop/50/sf-strict,0.153526459833656,0.14895769858576388,0.15780039556429984,6.783864814930867e-3,4.67540522966903e-3,9.970227882175733e-3
noloop/50/sf,0.22207672931681374,0.21513915400009864,0.22581772994463892,6.6069878404058004e-3,2.771997635627772e-3,1.0113233260144636e-2
noloop/100/allIO,0.30968500053349696,0.3061981464334228,0.3135235516003377,5.023371888299872e-3,2.853922984847136e-3,6.7399897073679715e-3
noloop/100/preIO,0.3098154099800195,0.3020533409800191,0.3170342276000156,9.384842106800986e-3,5.367120077894694e-3,1.3720152925902026e-2
noloop/100/sf-strict,0.2913330171600107,0.2861759883000559,0.2964900460199654,6.722816093030691e-3,3.7018003849608517e-3,8.8548992980056e-3
noloop/100/sf,0.419913127479352,0.4115697097502107,0.4276815562502634,1.0325698326080346e-2,4.341753458371983e-3,1.2926992712372316e-2
noloop/150/allIO,0.45083591002084705,0.439339098208355,0.4780173429999195,1.876372449033618e-2,3.716838041592979e-3,2.4033232927104593e-2
noloop/150/preIO,0.4425432191874468,0.4342325023748117,0.4512464515000829,1.0326764804206405e-2,4.7136070225336e-3,1.3097344143271896e-2
noloop/150/sf-strict,0.44068552902088715,0.42956061806251,0.44681099281285697,1.1611026342098282e-2,9.555662672977703e-3,1.3279344674313003e-2
noloop/150/sf,0.6242940570206391,0.6038790575826928,0.6351996118333622,1.9422865603253365e-2,4.1495780834187035e-3,2.5185300027151462e-2
noloop/200/allIO,0.5827039940000608,0.5752744746248103,0.5895472732502185,8.283519779032758e-3,3.2433312434566285e-3,1.0200535644229139e-2
noloop/200/preIO,0.585620428812509,0.5769374848749749,0.5917637758750895,8.68630299846087e-3,3.98298954051291e-3,1.2017694809643912e-2
noloop/200/sf-strict,0.5868456777916246,0.5802164659999107,0.5891663376666921,4.444220556156351e-3,1.1983241680962875e-4,5.359334414271315e-3
noloop/200/sf,0.8110030389167756,0.8044357182502608,0.8175703595832904,8.223631805901606e-3,4.439842718817247e-3,1.0726734699850408e-2
