Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
noloop/50/allIO,0.1655936016921199,0.16205202593947016,0.17013360108090492,5.4784928936891485e-3,3.5422100586696265e-3,8.019392871591972e-3
noloop/50/preIO,0.16595638163163923,0.1632255960813111,0.1710160904563239,6.276884440794267e-3,2.167557180938256e-3,9.506761928870773e-3
noloop/50/sf-strict,0.15268581706996132,0.1502364160119343,0.155409191178291,4.0908296441914665e-3,2.413875734541783e-3,6.05051412352924e-3
noloop/50/sf,0.22065669244928623,0.21502327049187953,0.22468326837243902,6.917296769523312e-3,3.413387443336308e-3,1.069404514195676e-2
noloop/100/allIO,0.3092317377451029,0.3039058733147803,0.3215933913767117,1.0778298078931223e-2,4.618062867978316e-3,1.703295050037017e-2
noloop/100/preIO,0.3095148266985716,0.3012402867841376,0.3158573418266618,8.905753730838744e-3,5.9037597802937035e-3,1.2031925292135585e-2
noloop/100/sf-strict,0.2943165161715318,0.2888295681785069,0.2980133331994725,6.319551616318374e-3,4.062961561347809e-3,9.118248605307255e-3
noloop/100/sf,0.4210538658886404,0.41106413222091587,0.4281520947336996,1.0729654513632362e-2,5.838622291359066e-3,1.5572335030853274e-2
noloop/150/allIO,0.45977148223967484,0.454867176948062,0.4645809948748744,5.734000087366608e-3,3.6774420198041335e-3,7.232300225516118e-3
noloop/150/preIO,0.43490201703672193,0.4179729693974249,0.4427424339215381,1.6462741305476362e-2,4.7824838001635575e-3,2.4758381162348953e-2
noloop/150/sf-strict,0.41774408366187327,0.4104472234272618,0.42753184836244035,1.0446617423141248e-2,5.83794751857651e-3,1.6226091789841014e-2
noloop/150/sf,0.623510027396517,0.6148852337104398,0.6323012673331807,1.0347095999265806e-2,6.498837696668408e-3,1.3103665573243408e-2
noloop/200/allIO,0.5967770741170529,0.5861109061403559,0.6094294824575454,1.2566625672674137e-2,7.156860723929062e-3,1.7450643463026407e-2
noloop/200/preIO,0.5641616623469238,0.5526734871552998,0.5748721578532779,1.24410171886034e-2,8.252430358922605e-3,1.691965186519603e-2
noloop/200/sf-strict,0.5882775268542529,0.5796628060215508,0.5941000867145443,7.582479446837106e-3,4.002683455834352e-3,1.0743347708701364e-2
noloop/200/sf,0.8242420748450058,0.8019179898625831,0.8458299610280543,2.481561003261192e-2,1.1923758018643918e-2,3.8539930317079966e-2
noloop/250/allIO,0.74857824582533,0.742938693572392,0.7578297935839752,7.905919271280303e-3,1.7054979843049599e-3,1.1196543581503205e-2
noloop/250/preIO,0.7099408516053038,0.695028561976003,0.716647094544045,1.1690785070364536e-2,3.031915120706826e-3,1.802293916014203e-2
noloop/250/sf-strict,0.6826407318108334,0.6677340869335499,0.6900488304611585,1.277470977102029e-2,2.095375199701226e-3,2.0806134675545342e-2
noloop/250/sf,1.0371801392071454,1.0225511274136565,1.0658875102006278,2.164535980431671e-2,7.132101752185541e-3,2.9533550460175015e-2
noloop/300/allIO,0.8614484601637944,0.8441936698916228,0.8726645671108094,1.4464208490064964e-2,7.608565583778858e-3,1.9350991543656583e-2
noloop/300/preIO,0.846995360621885,0.8331600626661384,0.8555173516330089,1.2205694797804846e-2,6.3188395436637335e-3,1.6918010001454778e-2
noloop/300/sf-strict,0.858278516347117,0.8511102813334017,0.872919540166145,1.1383245598696823e-2,3.337744190618665e-3,1.7231776659267773e-2
noloop/300/sf,1.23393377480296,1.2209580842733945,1.2592863931986358,1.8993199332018904e-2,4.407776673661691e-3,2.6367737683438894e-2
loopD/50/allIO,0.5692204604065013,0.55491459183041,0.5851535833193858,1.615689428284976e-2,7.673127843681377e-3,2.315383912537997e-2
loopD/50/preIO,0.21488651482382418,0.21098537301521897,0.21990052811690367,6.270665281031269e-3,4.201335599600954e-3,8.230847659606307e-3
